userID	questionID	rating
5205	17488	2
5205	8080	2
5205	36393	2
5205	44399	2
5205	44167	2
5205	44905	2
5205	22250	1
5205	7626	2
5205	31106	1
5205	39049	2
5205	9805	2
5205	27721	2
5205	7531	3
5205	5366	1
5205	7231	3
5205	10451	2
5205	2484	2
5205	26331	1
5205	6473	2
5205	3191	2
5205	36897	2
5205	10274	2
5205	14184	2
5205	19393	2
5205	44309	2
5205	13554	2
5205	34463	2
5205	20459	2
5205	8461	2
5205	19600	2
5205	15725	2
5205	4561	2
5205	32539	1
5205	27876	1
5205	8936	2
5205	23514	2
5205	4731	1
5205	7202	2
5205	141	2
5205	4136	2
5205	32449	2
5205	41274	2
5205	9887	2
5205	32227	2
5205	36330	2
5205	7165	2
5205	17492	2
5205	9798	2
5205	18352	1
5205	42354	2
5205	34226	2
5205	16408	2
5205	28612	2
5205	5287	2
5205	4309	2
5205	14026	2
5205	39757	1
5205	10812	1
5205	31665	2
5205	5935	2
5205	27125	2
5205	7049	2
5205	19875	2
5205	814	1
5205	4458	2
5205	1771	2
5205	8138	2
5205	18251	1
5205	40499	1
5205	27834	2
5205	31957	2
5205	7089	2
5205	32720	2
5205	20870	2
5205	35562	2
5205	19236	2
5205	20344	2
5205	3167	2
5205	10555	3
5205	15542	2
7770	1771	2
7770	14696	3
7770	1790	2
7770	34600	1
7770	34714	3
7770	20632	1
7770	32227	2
7770	1064	2
7770	1901	2
7770	8626	1
7770	19943	2
7770	16309	2
7770	1954	2
7770	5017	1
7770	27653	1
7770	28932	2
7770	4409	1
7770	7247	3
7770	15819	2
7770	19180	2
7770	2111	3
7770	13570	3
7770	7167	2
7770	37628	3
7770	18322	3
7770	43883	2
7770	7755	2
7770	5283	2
7770	18628	2
7770	5449	3
7770	5842	2
7770	18065	1
7770	8752	3
7770	22430	3
7770	5848	2
7770	43270	2
7770	7715	2
7770	35597	2
7770	1941	2
7770	34971	1
7770	13993	2
7770	30562	2
7770	2528	2
7770	17728	2
7770	4886	3
7770	10401	2
7770	9029	2
7770	29944	2
7770	9903	3
7770	7093	2
7770	19060	2
7770	18870	2
7770	16022	2
7770	39258	2
7770	27782	2
7770	17791	3
7770	20087	2
7770	22168	1
7770	20101	2
7770	23514	2
7770	22599	1
7770	22050	2
7770	32364	1
7770	6094	1
7770	40712	2
7770	12442	2
7770	23560	1
7770	37672	2
7770	18887	3
7770	2926	2
7770	35494	2
7770	5335	2
7770	43274	2
7770	6837	3
7770	43220	3
7770	1675	3
7770	28227	3
7770	6141	3
7770	4165	3
7770	31106	1
9830	23153	3
9830	40152	3
9830	9798	3
9830	15725	3
9830	36330	3
9830	7136	2
9830	27277	3
9830	25318	3
9830	2199	3
9830	36683	3
9830	20487	3
9830	31812	1
9830	4735	1
9830	1509	3
9830	23078	3
9830	37121	3
9830	2112	2
9830	17488	1
9830	44309	3
9830	10555	2
9830	7687	1
9830	43704	3
9830	4037	2
9830	8138	3
9830	30322	3
9830	10666	3
9830	19092	3
9830	20712	1
9830	1738	1
9830	9195	1
9830	936	2
9830	38750	2
9830	2117	3
9830	34893	2
9830	40292	1
9830	43419	1
9830	2173	3
9830	10103	1
9830	19198	3
9830	3274	2
9830	9830	1
9830	44749	3
9830	8886	3
9830	546	3
9830	34964	3
9830	3122	3
9830	8902	3
9830	4226	1
9830	20567	3
9830	10479	2
9830	9432	3
9830	3803	2
9830	6438	3
9830	7424	3
9830	606	3
9830	23417	2
9830	7801	2
9830	18153	3
9830	17347	2
9830	18251	2
9830	617	2
9830	10935	3
9830	8708	1
9830	8576	3
9830	16313	3
9830	4540	3
9830	1186	3
9830	43599	3
9830	20024	3
9830	18422	3
9830	23366	1
9830	45356	3
9830	1587	3
9830	6473	3
9830	26337	3
9830	6894	3
9830	7571	3
9830	10274	3
9830	22579	3
9830	4927	3
7777	15725	2
7777	36393	1
7777	13993	2
7777	14805	2
7777	3451	2
7777	8080	2
7777	27539	1
7777	37709	2
7777	4245	1
7777	7209	2
7777	3167	2
7777	37049	2
7777	8179	2
7777	36045	2
7777	7202	2
7777	17567	1
7777	3163	1
7777	22579	2
7777	805	2
7777	7461	2
7777	41372	3
7777	20713	2
7777	5366	2
7777	14236	2
7777	2612	2
